study name,sub-group,timepoint,Data format,OR,Lower Limit  ,Upper Limit  ,"Event 
delirium group",Delirium group total (N),"Event 
no-delirium group",Non-delirium group total (N),"95% confidence 
interval",Log OR,SE,"Delirium 
mean","Delirium
(SD)","Delirium 
Sample size","No-delirium 
mean","No-delirium
(SD)","No-delirium 
Sample size",Effect direction,"Independent 
group t-value","Independent 
group p-value",difference in means,Lower limit,upper limit,Tail,Hedges's g,Std Err,Variance
Bickel 2008,Dementia ,38 month,Odds ratio,41.2,4.3,396.2,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Dementia ,8 month,Odds ratio,4.6,0.9,24.2,,,,,,,,,,,,,,,,,,,,,,,
Brown 2020,Dementia,12 month,Odds ratio,1.59,1.06,2.39,,,,,,,,,,,,,,,,,,,,,,,
Davis 2012,Dementia,29 month,Odds ratio,8.65,2.13,35.12,,,,,,,,,,,,,,,,,,,,,,,
Davis 2014,Dementia,24 month,Odds ratio,8.82,2.76,28.2,,,,,,,,,,,,,,,,,,,,,,,
Dros 2020,Dementia ,12 month,Odds ratio,4.952,2.853,8.596,,,,,,,,,,,,,,,,,,,,,,,
Dros 2020,Dementia,3 month,Odds ratio,7.267,2.182,24.207,,,,,,,,,,,,,,,,,,,,,,,
Krogseth 2011,Dementia,6 month,Odds ratio,10.5,1.6,70.3,,,,,,,,,,,,,,,,,,,,,,,
Lingehall 2017,Dementia,60 month,Odds ratio,7.57,2.15,26.65,,,,,,,,,,,,,,,,,,,,,,,
Lundström 2003,Dementia,60 month,Odds ratio,5.66,1.31,23.56,,,,,,,,,,,,,,,,,,,,,,,
Neerland 2017,Dementia,12 month,Odds ratio,6.7,2.3,20.1,,,,,,,,,,,,,,,,,,,,,,,
Ojagbemi 2020,Dementia,3 month,Odds ratio,3.7,1.2,11.2,,,,,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Dementia (postoperative delirium),36 month,Odds ratio,15.582,2.649,91.64,,,,,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Dementia (preoperative delirium),36 month,Odds ratio,1.867,0.437,7.982,,,,,,,,,,,,,,,,,,,,,,,
Rawle 2021,Dementia,24 month,Odds ratio,8.63,5.06,14.7,,,,,,,,,,,,,,,,,,,,,,,
Richardson 2021,Dementia,12 month,Odds ratio,8.8,1.9,41.4,,,,,,,,,,,,,,,,,,,,,,,
Rockwood 1999,Dementia,36 month,Odds ratio,5.97,1.83,19.54,,,,,,,,,,,,,,,,,,,,,,,
van Rijsbergen 2011,Dementia (CDR scale),24 month,Odds ratio,4.7,1.08,20.42,,,,,,,,,,,,,,,,,,,,,,,
van Rijsbergen 2011,Dementia (Rotterdam-CAMCOG),24 month,Odds ratio,7.2,1.88,27.89,,,,,,,,,,,,,,,,,,,,,,,
Bulic 2020,Dementia ,12 month,Cohort 2x2 (Events),0.90625,,,3,27,4,33,,,,,,,,,,,,,,,,,,,
Bulic 2020,Dementia ,6 month,Cohort 2x2 (Events),0.933333333,,,2,27,3,38,,,,,,,,,,,,,,,,,,,
Dostovic 2021,Dementia (dementia rating scale),12 month,Cohort 2x2 (Events),10.32323232,,,56,74,22,95,,,,,,,,,,,,,,,,,,,
Dostovic 2021,Dementia (MMSE),12 month,Cohort 2x2 (Events),11.81512605,,,57,74,21,95,,,,,,,,,,,,,,,,,,,
Garcez 2019,Dementia,24 month,Cohort 2x2 (Events),2.51754386,,,21,66,38,243,,,,,,,,,,,,,,,,,,,
Kat 2008,Dementia,30 month,Cohort 2x2 (Events),14.54545455,,,16,27,2,22,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,108 month,Cohort 2x2 (Events),0.921832884,,,18,25,53,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,12 month,Cohort 2x2 (Events),0.756198347,,,3,25,11,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,120 month,Cohort 2x2 (Events),0.846774194,,,21,25,62,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,24 month,Cohort 2x2 (Events),0.947368421,,,6,25,18,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,36 month,Cohort 2x2 (Events),0.496240602,,,6,25,28,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,48 month,Cohort 2x2 (Events),0.622390892,,,8,25,31,72,,,,,,,,,,,,,,,,,,,
